case_id,oracle_depth,mutation_operator,size_class,reference_bpr,faulty_bpr,bpr_delta,fault_detected,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,scenario_count,max_scenario_steps,scenario_policy,declared_max_depth,observed_max_executed_depth,mean_scenario_length,median_scenario_length,max_scenario_length
case_000063,shallow,duplicate_transition,large,1.0,1.0,0.0,False,1.0,1.0,1.0,80,5,depth-forced,5,5,4.15,4.0,5
case_000006,shallow,duplicate_transition,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4,4.0,5
case_000025,shallow,duplicate_transition,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000044,shallow,duplicate_transition,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,236,5,depth-forced,5,5,4.224576,4.0,5
case_000027,shallow,guard_flip,large,1.0,0.585987,0.414013,True,1.0,1.0,1.0,77,5,depth-forced,5,5,4.077922,4,5
case_000046,shallow,guard_flip,medium,1.0,0.963964,0.036036,True,1.0,1.0,1.0,27,5,depth-forced,5,5,4.111111,4,5
case_000065,shallow,guard_flip,small,1.0,0.861111,0.138889,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000008,shallow,guard_flip,very_large,1.0,0.984236,0.015764,True,1.0,1.0,1.0,248,5,depth-forced,5,5,4.092742,4.0,5
case_000055,shallow,guard_inter_class,large,1.0,1.0,0.0,False,1.0,1.0,1.0,77,5,depth-forced,5,5,4.116883,4,5
case_000074,shallow,guard_inter_class,medium,1.0,0.982759,0.017241,True,1.0,1.0,1.0,28,5,depth-forced,5,5,4.142857,4.0,5
case_000017,shallow,guard_inter_class,small,1.0,1.0,0.0,False,1.0,1.0,1.0,11,5,depth-forced,5,5,3.909091,4,5
case_000036,shallow,guard_inter_class,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,245,5,depth-forced,5,5,4.142857,4,5
case_000067,shallow,guard_strengthen,large,1.0,0.987138,0.012862,True,1.0,1.0,1.0,76,5,depth-forced,5,5,4.092105,4.0,5
case_000010,shallow,guard_strengthen,medium,1.0,0.872881,0.127119,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.068966,4,5
case_000029,shallow,guard_strengthen,small,1.0,0.871795,0.128205,True,1.0,1.0,1.0,10,5,depth-forced,5,5,3.9,4.0,5
case_000048,shallow,guard_strengthen,very_large,1.0,0.998045,0.001955,True,1.0,1.0,1.0,241,5,depth-forced,5,5,4.244813,4,5
case_000047,shallow,guard_weaken,large,1.0,0.990712,0.009288,True,1.0,1.0,1.0,79,5,depth-forced,5,5,4.088608,4,5
case_000066,shallow,guard_weaken,medium,1.0,0.958678,0.041322,True,1.0,1.0,1.0,30,5,depth-forced,5,5,4.033333,4.0,5
case_000009,shallow,guard_weaken,small,1.0,0.648649,0.351351,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4.111111,4,5
case_000028,shallow,guard_weaken,very_large,1.0,0.995103,0.004897,True,1.0,1.0,1.0,246,5,depth-forced,5,5,4.150407,4.0,5
case_000039,shallow,missing_transition,large,1.0,0.993671,0.006329,True,1.0,1.0,1.0,75,5,depth-forced,5,5,4.213333,4,5
case_000058,shallow,missing_transition,medium,1.0,0.964602,0.035398,True,1.0,1.0,1.0,28,5,depth-forced,5,5,4.035714,4.0,5
case_000001,shallow,missing_transition,small,1.0,0.878788,0.121212,True,1.0,1.0,1.0,8,5,depth-forced,5,5,4.125,4.0,5
case_000020,shallow,missing_transition,very_large,1.0,0.927052,0.072948,True,1.0,1.0,1.0,238,5,depth-forced,5,5,4.147059,4.0,5
case_000071,shallow,nondeterminism_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,79,5,depth-forced,5,5,4.063291,4,5
case_000014,shallow,nondeterminism_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4.107143,4.0,5
case_000033,shallow,nondeterminism_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000052,shallow,nondeterminism_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,240,5,depth-forced,5,5,4.170833,4.0,5
case_000031,shallow,timeout_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,77,5,depth-forced,5,5,4.077922,4,5
case_000050,shallow,timeout_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4.071429,4.0,5
case_000069,shallow,timeout_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,4.111111,4,5
case_000012,shallow,timeout_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,244,5,depth-forced,5,5,4.151639,4.0,5
case_000015,shallow,unreachable_state_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,77,5,depth-forced,5,5,4.142857,4,5
case_000034,shallow,unreachable_state_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,31,5,depth-forced,5,5,4,4,5
case_000053,shallow,unreachable_state_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,11,5,depth-forced,5,5,3.909091,4,5
case_000072,shallow,unreachable_state_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,241,5,depth-forced,5,5,4.195021,4,5
case_000023,shallow,wrong_event,large,1.0,0.993769,0.006231,True,1.0,1.0,1.0,78,5,depth-forced,5,5,4.115385,4.0,5
case_000042,shallow,wrong_event,medium,1.0,0.927273,0.072727,True,1.0,1.0,1.0,27,5,depth-forced,5,5,4.074074,4,5
case_000061,shallow,wrong_event,small,1.0,0.583333,0.416667,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000004,shallow,wrong_event,very_large,1.0,0.997984,0.002016,True,1.0,1.0,1.0,237,5,depth-forced,5,5,4.185654,4,5
case_000043,shallow,wrong_initial_state,large,1.0,0.0,1.0,True,1.0,1.0,1.0,79,5,depth-forced,5,5,4.101266,4,5
case_000062,shallow,wrong_initial_state,medium,1.0,0.0,1.0,True,1.0,1.0,1.0,27,5,depth-forced,5,5,4.111111,4,5
case_000005,shallow,wrong_initial_state,small,1.0,0.0,1.0,True,1.0,1.0,1.0,8,5,depth-forced,5,5,3.875,4.0,5
case_000024,shallow,wrong_initial_state,very_large,1.0,0.0,1.0,True,1.0,1.0,1.0,244,5,depth-forced,5,5,4.118852,4.0,5
case_000003,shallow,wrong_source,large,1.0,0.978328,0.021672,True,1.0,1.0,1.0,77,6,depth-forced,5,6,4.194805,4,6
case_000022,shallow,wrong_source,medium,1.0,0.880342,0.119658,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.034483,4,5
case_000041,shallow,wrong_source,small,1.0,0.694444,0.305556,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000060,shallow,wrong_source,very_large,1.0,0.986974,0.013026,True,1.0,1.0,1.0,237,5,depth-forced,5,5,4.21097,4,5
case_000059,shallow,wrong_target,large,1.0,0.986971,0.013029,True,1.0,1.0,1.0,74,5,depth-forced,5,5,4.148649,4.0,5
case_000002,shallow,wrong_target,medium,1.0,0.974359,0.025641,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.034483,4,5
case_000021,shallow,wrong_target,small,1.0,0.944444,0.055556,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000040,shallow,wrong_target,very_large,1.0,0.982178,0.017822,True,1.0,1.0,1.0,245,5,depth-forced,5,5,4.122449,4,5
case_000087,shallow,action_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,74,5,depth-forced,5,5,4.162162,4.0,5
case_000106,shallow,action_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,32,5,depth-forced,5,5,3.96875,4.0,5
case_000125,shallow,action_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,8,5,depth-forced,5,5,4,4.0,5
case_000144,shallow,action_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,237,5,depth-forced,5,5,4.219409,4,5
case_000151,shallow,action_full_mutation,large,1.0,1.0,0.0,False,1.0,1.0,1.0,76,5,depth-forced,5,5,4.092105,4.0,5
case_000094,shallow,action_full_mutation,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4.071429,4.0,5
case_000113,shallow,action_full_mutation,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000132,shallow,action_full_mutation,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,235,5,depth-forced,5,5,4.217021,4,5
case_000083,shallow,dead_state_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,76,5,depth-forced,5,5,4.092105,4.0,5
case_000102,shallow,dead_state_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,32,5,depth-forced,5,5,3.96875,4.0,5
case_000121,shallow,dead_state_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,4.111111,4,5
case_000140,shallow,dead_state_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,247,5,depth-forced,5,5,4.11336,4,5
case_000127,shallow,delay_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,74,5,depth-forced,5,5,4.202703,4.0,5
case_000146,shallow,delay_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,25,5,depth-forced,5,5,4.16,4,5
case_000089,shallow,delay_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000108,shallow,delay_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,236,5,depth-forced,5,5,4.194915,4.0,5
case_000139,shallow,duplicate_transition,large,1.0,1.0,0.0,False,1.0,1.0,1.0,74,5,depth-forced,5,5,4.148649,4.0,5
case_000082,shallow,duplicate_transition,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,27,5,depth-forced,5,5,4.037037,4,5
case_000101,shallow,duplicate_transition,small,1.0,1.0,0.0,False,1.0,1.0,1.0,8,5,depth-forced,5,5,3.875,4.0,5
case_000120,shallow,duplicate_transition,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,245,5,depth-forced,5,5,4.208163,4,5
case_000103,shallow,guard_flip,large,1.0,0.977273,0.022727,True,1.0,1.0,1.0,75,5,depth-forced,5,5,4.106667,4,5
case_000122,shallow,guard_flip,medium,1.0,0.964912,0.035088,True,1.0,1.0,1.0,28,5,depth-forced,5,5,4.071429,4.0,5
case_000141,shallow,guard_flip,small,1.0,0.75,0.25,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000084,shallow,guard_flip,very_large,1.0,0.986922,0.013078,True,1.0,1.0,1.0,240,5,depth-forced,5,5,4.141667,4.0,5
case_000131,shallow,guard_inter_class,large,1.0,1.0,0.0,False,1.0,1.0,1.0,80,5,depth-forced,5,5,4.025,4.0,5
case_000150,shallow,guard_inter_class,medium,1.0,0.949153,0.050847,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.068966,4,5
case_000093,shallow,guard_inter_class,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000112,shallow,guard_inter_class,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,247,5,depth-forced,5,5,4.137652,4,5
case_000143,shallow,guard_strengthen,large,1.0,0.993485,0.006515,True,1.0,1.0,1.0,75,5,depth-forced,5,5,4.093333,4,5
case_000086,shallow,guard_strengthen,medium,1.0,0.956522,0.043478,True,1.0,1.0,1.0,28,5,depth-forced,5,5,4.107143,4.0,5
case_000105,shallow,guard_strengthen,small,1.0,0.897436,0.102564,True,1.0,1.0,1.0,10,5,depth-forced,5,5,3.9,4.0,5
case_000124,shallow,guard_strengthen,very_large,1.0,0.995,0.005,True,1.0,1.0,1.0,242,5,depth-forced,5,5,4.132231,4.0,5
case_000123,shallow,guard_weaken,large,1.0,0.993506,0.006494,True,1.0,1.0,1.0,75,5,depth-forced,5,5,4.106667,4,5
case_000142,shallow,guard_weaken,medium,1.0,0.991453,0.008547,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.034483,4,5
case_000085,shallow,guard_weaken,small,1.0,0.813953,0.186047,True,1.0,1.0,1.0,11,5,depth-forced,5,5,3.909091,4,5
case_000104,shallow,guard_weaken,very_large,1.0,0.975684,0.024316,True,1.0,1.0,1.0,233,5,depth-forced,5,5,4.236052,4,5
case_000115,shallow,missing_transition,large,1.0,0.981013,0.018987,True,1.0,1.0,1.0,78,5,depth-forced,5,5,4.051282,4.0,5
case_000134,shallow,missing_transition,medium,1.0,0.942623,0.057377,True,1.0,1.0,1.0,30,5,depth-forced,5,5,4.066667,4.0,5
case_000077,shallow,missing_transition,small,1.0,0.790698,0.209302,True,1.0,1.0,1.0,11,5,depth-forced,5,5,3.909091,4,5
case_000096,shallow,missing_transition,very_large,1.0,0.998041,0.001959,True,1.0,1.0,1.0,239,5,depth-forced,5,5,4.271967,4,5
case_000147,shallow,nondeterminism_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,75,5,depth-forced,5,5,4.093333,4,5
case_000090,shallow,nondeterminism_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,27,5,depth-forced,5,5,4.074074,4,5
case_000109,shallow,nondeterminism_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,12,5,depth-forced,5,5,4,4.0,5
case_000128,shallow,nondeterminism_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,242,5,depth-forced,5,5,4.177686,4.0,5
case_000107,shallow,timeout_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,77,5,depth-forced,5,5,4.064935,4,5
case_000126,shallow,timeout_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,29,5,depth-forced,5,5,4.068966,4,5
case_000145,shallow,timeout_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000088,shallow,timeout_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,243,5,depth-forced,5,5,4.152263,4,5
case_000091,shallow,unreachable_state_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,79,5,depth-forced,5,5,4.050633,4,5
case_000110,shallow,unreachable_state_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4.142857,4.0,5
case_000129,shallow,unreachable_state_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,11,5,depth-forced,5,5,3.909091,4,5
case_000148,shallow,unreachable_state_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,241,5,depth-forced,5,5,4.211618,4,5
case_000099,shallow,wrong_event,large,1.0,0.983923,0.016077,True,1.0,1.0,1.0,76,5,depth-forced,5,5,4.092105,4.0,5
case_000118,shallow,wrong_event,medium,1.0,0.942149,0.057851,True,1.0,1.0,1.0,30,5,depth-forced,5,5,4.033333,4.0,5
case_000137,shallow,wrong_event,small,1.0,0.871795,0.128205,True,1.0,1.0,1.0,10,5,depth-forced,5,5,3.9,4.0,5
case_000080,shallow,wrong_event,very_large,1.0,0.99503,0.00497,True,1.0,1.0,1.0,243,5,depth-forced,5,5,4.139918,4,5
case_000119,shallow,wrong_initial_state,large,1.0,0.0,1.0,True,1.0,1.0,1.0,72,5,depth-forced,5,5,4.194444,4.0,5
case_000138,shallow,wrong_initial_state,medium,1.0,0.0,1.0,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4,4,5
case_000081,shallow,wrong_initial_state,small,1.0,0.0,1.0,True,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000100,shallow,wrong_initial_state,very_large,1.0,0.0,1.0,True,1.0,1.0,1.0,249,5,depth-forced,5,5,4.15261,4,5
case_000079,shallow,wrong_source,large,1.0,0.975535,0.024465,True,1.0,1.0,1.0,80,5,depth-forced,5,5,4.0875,4.0,5
case_000098,shallow,wrong_source,medium,1.0,0.990566,0.009434,True,1.0,1.0,1.0,25,5,depth-forced,5,5,4.24,4,5
case_000117,shallow,wrong_source,small,1.0,0.638889,0.361111,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000136,shallow,wrong_source,very_large,1.0,0.992285,0.007715,True,1.0,1.0,1.0,249,5,depth-forced,5,5,4.164659,4,5
case_000135,shallow,wrong_target,large,1.0,0.996951,0.003049,True,1.0,1.0,1.0,78,5,depth-forced,5,5,4.205128,4.0,5
case_000078,shallow,wrong_target,medium,1.0,0.899083,0.100917,True,1.0,1.0,1.0,27,5,depth-forced,5,5,4.037037,4,5
case_000097,shallow,wrong_target,small,1.0,0.805556,0.194444,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000116,shallow,wrong_target,very_large,1.0,0.99515,0.00485,True,1.0,1.0,1.0,242,5,depth-forced,5,5,4.260331,4.0,5
case_000163,shallow,action_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,75,5,depth-forced,5,5,4.133333,4,5
case_000182,shallow,action_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4.035714,4.0,5
case_000201,shallow,action_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000220,shallow,action_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,239,5,depth-forced,5,5,4.25523,4,5
case_000227,shallow,action_full_mutation,large,1.0,1.0,0.0,False,1.0,1.0,1.0,77,5,depth-forced,5,5,4.077922,4,5
case_000170,shallow,action_full_mutation,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,30,5,depth-forced,5,5,4,4.0,5
case_000189,shallow,action_full_mutation,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000208,shallow,action_full_mutation,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,240,5,depth-forced,5,5,4.2125,4.0,5
case_000159,shallow,dead_state_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,76,5,depth-forced,5,5,4.105263,4.0,5
case_000178,shallow,dead_state_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4.107143,4.0,5
case_000197,shallow,dead_state_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,3.888889,4,5
case_000216,shallow,dead_state_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,236,5,depth-forced,5,5,4.165254,4.0,5
case_000203,shallow,delay_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,80,5,depth-forced,5,5,4.05,4.0,5
case_000222,shallow,delay_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,28,5,depth-forced,5,5,4.071429,4.0,5
case_000165,shallow,delay_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,3.9,4.0,5
case_000184,shallow,delay_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,247,5,depth-forced,5,5,4.17004,4,5
case_000215,shallow,duplicate_transition,large,1.0,1.0,0.0,False,1.0,1.0,1.0,79,5,depth-forced,5,5,4.075949,4,5
case_000158,shallow,duplicate_transition,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,27,5,depth-forced,5,5,4.148148,4,5
case_000177,shallow,duplicate_transition,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000196,shallow,duplicate_transition,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,242,5,depth-forced,5,5,4.14876,4.0,5
case_000179,shallow,guard_flip,large,1.0,0.9967,0.0033,True,1.0,1.0,1.0,74,5,depth-forced,5,5,4.094595,4.0,5
case_000198,shallow,guard_flip,medium,1.0,0.982609,0.017391,True,1.0,1.0,1.0,28,5,depth-forced,5,5,4.107143,4.0,5
case_000217,shallow,guard_flip,small,1.0,0.864865,0.135135,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4.111111,4,5
case_000160,shallow,guard_flip,very_large,1.0,0.966667,0.033333,True,1.0,1.0,1.0,236,5,depth-forced,5,5,4.194915,4.0,5
case_000207,shallow,guard_inter_class,large,1.0,0.990566,0.009434,True,1.0,1.0,1.0,77,5,depth-forced,5,5,4.12987,4,5
case_000226,shallow,guard_inter_class,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,30,5,depth-forced,5,5,4,4.0,5
case_000169,shallow,guard_inter_class,small,1.0,0.805556,0.194444,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000188,shallow,guard_inter_class,very_large,1.0,0.999024,0.000976,True,1.0,1.0,1.0,241,5,depth-forced,5,5,4.253112,4,5
case_000219,shallow,guard_strengthen,large,1.0,0.980328,0.019672,True,1.0,1.0,1.0,74,5,depth-forced,5,5,4.121622,4.0,5
case_000162,shallow,guard_strengthen,medium,1.0,0.967742,0.032258,True,1.0,1.0,1.0,31,5,depth-forced,5,5,4,4,5
case_000181,shallow,guard_strengthen,small,1.0,0.972222,0.027778,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000200,shallow,guard_strengthen,very_large,1.0,0.992872,0.007128,True,1.0,1.0,1.0,238,5,depth-forced,5,5,4.12605,4.0,5
case_000199,shallow,guard_weaken,large,1.0,0.993691,0.006309,True,1.0,1.0,1.0,76,5,depth-forced,5,5,4.171053,4.0,5
case_000218,shallow,guard_weaken,medium,1.0,0.957265,0.042735,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.034483,4,5
case_000161,shallow,guard_weaken,small,1.0,0.611111,0.388889,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000180,shallow,guard_weaken,very_large,1.0,0.994089,0.005911,True,1.0,1.0,1.0,240,5,depth-forced,5,5,4.229167,4.0,5
case_000191,shallow,missing_transition,large,1.0,0.993528,0.006472,True,1.0,1.0,1.0,76,5,depth-forced,5,5,4.065789,4.0,5
case_000210,shallow,missing_transition,medium,1.0,0.965812,0.034188,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.034483,4,5
case_000153,shallow,missing_transition,small,1.0,0.275,0.725,True,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000172,shallow,missing_transition,very_large,1.0,0.996113,0.003887,True,1.0,1.0,1.0,241,5,depth-forced,5,5,4.26971,4,5
case_000223,shallow,nondeterminism_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,78,5,depth-forced,5,5,4.038462,4.0,5
case_000166,shallow,nondeterminism_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,27,5,depth-forced,5,5,4.037037,4,5
case_000185,shallow,nondeterminism_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000204,shallow,nondeterminism_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,244,5,depth-forced,5,5,4.20082,4.0,5
case_000183,shallow,timeout_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,76,5,depth-forced,5,5,4.118421,4.0,5
case_000202,shallow,timeout_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,29,5,depth-forced,5,5,4.068966,4,5
case_000221,shallow,timeout_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,4.111111,4,5
case_000164,shallow,timeout_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,243,5,depth-forced,5,5,4.193416,4,5
case_000167,shallow,unreachable_state_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,76,5,depth-forced,5,5,4.052632,4.0,5
case_000186,shallow,unreachable_state_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,29,5,depth-forced,5,5,4.068966,4,5
case_000205,shallow,unreachable_state_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,3.9,4.0,5
case_000224,shallow,unreachable_state_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,236,5,depth-forced,5,5,4.194915,4.0,5
case_000175,shallow,wrong_event,large,1.0,0.990354,0.009646,True,1.0,1.0,1.0,75,5,depth-forced,5,5,4.146667,4,5
case_000194,shallow,wrong_event,medium,1.0,0.932203,0.067797,True,1.0,1.0,1.0,29,5,depth-forced,5,5,4.068966,4,5
case_000213,shallow,wrong_event,small,1.0,0.891892,0.108108,True,1.0,1.0,1.0,9,5,depth-forced,5,5,4.111111,4,5
case_000156,shallow,wrong_event,very_large,1.0,0.996994,0.003006,True,1.0,1.0,1.0,238,5,depth-forced,5,5,4.193277,4.0,5
case_000195,shallow,wrong_initial_state,large,1.0,0.0,1.0,True,1.0,1.0,1.0,78,5,depth-forced,5,5,4.102564,4.0,5
case_000214,shallow,wrong_initial_state,medium,1.0,0.0,1.0,True,1.0,1.0,1.0,30,5,depth-forced,5,5,4.066667,4.0,5
case_000157,shallow,wrong_initial_state,small,1.0,0.0,1.0,True,1.0,1.0,1.0,11,5,depth-forced,5,5,3.909091,4,5
case_000176,shallow,wrong_initial_state,very_large,1.0,0.0,1.0,True,1.0,1.0,1.0,234,5,depth-forced,5,5,4.196581,4.0,5
case_000155,shallow,wrong_source,large,1.0,0.996825,0.003175,True,1.0,1.0,1.0,77,5,depth-forced,5,5,4.090909,4,5
